"URL";"DATE";"CONTENT";"SENTIMENT";"TAG";"TOPICS";"AUDIENCE";"TERM";"AUTHOR_NAME";"AUTHOR_GENDER";"AUTHOR_LOCATION*";"AUTHOR_CITY";"AUTHOR_PROVINCE";"AUTHOR_COUNTRY";"AUTHOR_SITE";"SERVICE";"REPERCUSSION";"POPULARITY";"RELEVANCE";"INFLUENCE"
"https://www.reclameaqui.com.br/sadia/margarinas-mofadas_HtVbF2Sk4JWix7i1/";2017-08-09 20:49:00;"COMPREI DUAS MARGARINAS QUALY MULTIGRAOS, POREM QUANDO ABRI UMA DELAS ESTAVA COM MOFO, ENTREI EM CONTATO COM A EMPRESA SADIA E ELA ME ENVIOU UM CARTAO COM A...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-com-cor-diferente_CCNTDQaHh52-0N8Y/";2017-07-19 11:24:00;"";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-cheiro-sabor-e-consistencia-horriveis_2Uqs_aJvpZM_yr_L/";2017-07-18 12:59:00;"Eu amo a margarina qualy porém comprei um pote e me decepcionei com ela!!!Sabor de Doriana e Delicia das quais nao gosto do sabor!!!Por isso a predileçao por...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/indignado_rmn21OK8sRbAu4IV/";2017-07-10 11:01:00;"NO DIA 29/06/2017 FIZ UMA COMPRA DO PRODUTO QUALY MULTI.GRAOS NO QUAL VEIO COM UM BOLOR.PRONTAMENTE FIZ CONTATO ATRAVÉS DA FAN PAGE DA QUALY, FUI...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-multi-graos-mofada-apesar-de-estar-na-validade__h6Bqtm3BcxpM0Nx/";2017-07-09 10:09:00;"Fiz compras em uma cidade vizinha, dentre estas compras, quis experimentar a qualy multigraos, entao comprei. Ao chegar em casa para a minha surpresa, a...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-com-cor-e-sabor-estranho_YYdPBNoTYm9vnuGq/";2017-07-07 15:58:00;"Comprei no supermercado porecatu de sao josé do rio preto um pode de margarina qualy do qual sempre compro normalmente, mas desta vez pra minha surpresa ela...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/alimento-improprio-para-consumo_8gPLxRFbtGzdAjSV/";2017-06-24 23:32:00;"Comprei uma Margarina Qualy no supermercado Guanabara e quando abrir percebi que em partes ela se encontra mofada . Por sorte nenhum familiar véio a consumir esse produto . Gostaria de esclarecimentos da empresa. Grato Rodrigo....";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/crescimento-de-fungos_JcoZaOFLYOuc0-aS/";2017-06-16 11:28:00;"Realizei a compra de 2 margarinas Qualy multigraos, ha 2 meses, no Apoio Mineiro de Betim-MG. Abri a primeira e havia crescimento de uma colonia de fungos...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/creme-vegetal-qualy-multigraos-com-sal-250g-superprix-br_26551128/";2017-05-31 07:36:00;"Fui ao mercado comprei esse qualy descrita acima, e para minha supresa ao chegar em casa quando abrimos para comer ela estava mofada, voltei ao mercado no...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/qualy-multi-graos_SlucJwW_3vdH4J0Z/";2017-05-29 16:02:00;"Comprei uma Qualy Multi Graos 250g para experimentar o produto, quando abri senti um cheiro forte e o sabor também nao é agradável. Entrei em contato com o...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
