"";"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"1";"LTN";20170706;100000;20150703;20171001;"9,2936";"9,2867";"9,2895";"978,726997";"2,16041174717586E-03";"9,0259";"9,5218";"9,0117";"9,5079";"Calculado"
"2";"LTN";20170706;100000;20140110;20180101;"8,7559";"8,7289";"8,74";"960,246966";"1,77635683940025E-15";"8,4307";"9,0223";"8,4214";"9,0117";"Calculado"
"3";"LTN";20170706;100000;20160108;20180401;"8,6311";"8,6217";"8,6256";"941,686592";"1,1247328742696E-03";"8,29";"8,964";"8,2809";"8,9541";"Calculado"
"4";"LTN";20170706;100000;20140704;20180701;"8,5584";"8,5464";"8,5521";"923,018274";"2,37103244849125E-03";"8,1887";"8,8942";"8,191";"8,8963";"Calculado"
"5";"LTN";20170706;100000;20160708;20181001;"8,64";"8,6297";"8,635";"903,132508";"8,88178419700125E-16";"8,2767";"9,0041";"8,2647";"8,9913";"Calculado"
"6";"LTN";20170706;100000;20150109;20190101;"8,7372";"8,725";"8,7301";"883,773123";"5,59016994374836E-04";"8,3841";"9,1635";"8,3558";"9,1344";"Calculado"
"7";"LTN";20170706;100000;20170106;20190401;"8,904";"8,8955";"8,9";"863,727403";"3,1249999999942E-04";"8,5585";"9,38";"8,525";"9,346";"Calculado"
"8";"LTN";20170706;100000;20150703;20190701;"9,0684";"9,0567";"9,0618";"843,335009";"2,33381863085013E-03";"8,7061";"9,5748";"8,6761";"9,5438";"Calculado"
"9";"LTN";20170706;100000;20160108;20200101;"9,37";"9,3587";"9,365";"800,894853";"2,11062643197836E-15";"9,0361";"9,9537";"8,9887";"9,9059";"Calculado"
"10";"LTN";20170706;100000;20160708;20200701;"9,7139";"9,705";"9,71";"759,519646";"4,01851300429658E-15";"9,3231";"10,3315";"9,2803";"10,2881";"Calculado"
"11";"NTN-C";20170706;770100;20000701;20210401;"--";"--";"5,3612";"3659,106828";"2,10331389964612E-02";"4,2645";"6,5574";"4,2796";"6,5724";"Calculado"
