"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio";"DataAtualizacao"
"LTN";20170713;100000;20150703;20171001;"9.2035";"9.1958";"9.1986";"980.634837";"2.51371168568378E-03";"8.9441";"9.4388";"8.9293";"9.4217";"Calculado";"2017-07-13"
"LTN";20170713;100000;20140110;20180101;"8.6772";"8.6509";"8.6624";"962.163548";"4.21688467972946E-03";"8.3488";"8.9338";"8.3462";"8.9298";"Calculado";"2017-07-13"
"LTN";20170713;100000;20160108;20180401;"8.5271";"8.5163";"8.52";"943.881972";"8.97016233590804E-15";"8.1865";"8.8561";"8.1768";"8.8454";"Calculado";"2017-07-13"
"LTN";20170713;100000;20140704;20180701;"8.4622";"8.4463";"8.455";"925.313915";"1.82250366280306E-15";"8.0984";"8.8029";"8.0948";"8.799";"Calculado";"2017-07-13"
"LTN";20170713;100000;20160708;20181001;"8.5467";"8.5376";"8.5418";"905.558071";"2.06434940393767E-03";"8.1741";"8.8976";"8.172";"8.8947";"Calculado";"2017-07-13"
"LTN";20170713;100000;20150109;20190101;"8.6369";"8.6245";"8.63";"886.430247";"3.57284252927986E-15";"8.2526";"9.028";"8.2559";"9.0305";"Calculado";"2017-07-13"
"LTN";20170713;100000;20170106;20190401;"8.8069";"8.7963";"8.8";"866.540806";"1.93816420900099E-15";"8.4302";"9.2486";"8.425";"9.2428";"Calculado";"2017-07-13"
"LTN";20170713;100000;20150703;20190701;"8.9609";"8.949";"8.9553";"846.394108";"8.62281515379251E-04";"8.5635";"9.4275";"8.5714";"9.4346";"Calculado";"2017-07-13"
"LTN";20170713;100000;20170707;20191001;"9.1628";"9.1532";"9.1579";"824.208333";"2.17217249161783E-03";"8.7597";"9.6481";"8.7825";"9.6705";"Calculado";"2017-07-13"
"LTN";20170713;100000;20160108;20200101;"9.2611";"9.25";"9.257";"804.271327";"4.14772446452468E-03";"8.8561";"9.7719";"8.8807";"9.7961";"Calculado";"2017-07-13"
