"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170721;100000;20150703;20171001;"9,0378";"9,027";"9,0302";"982,992572";"2,23319938364837E-03";"8,7933";"9,2743";"8,7797";"9,2584";"Calculado"
"LTN";20170721;100000;20140110;20180101;"8,493";"8,475";"8,4831";"964,770115";"3,32871704157563E-03";"8,1619";"8,7385";"8,1696";"8,7448";"Calculado"
"LTN";20170721;100000;20160108;20180401;"8,34";"8,33";"8,335";"946,823269";"4,11579275046083E-15";"7,9739";"8,6376";"7,9939";"8,6565";"Calculado"
"LTN";20170721;100000;20140704;20180701;"8,274";"8,2623";"8,2674";"928,601794";"3,70213998328446E-03";"7,8712";"8,5741";"7,9087";"8,6113";"Calculado"
"LTN";20170721;100000;20160708;20181001;"8,34";"8,3311";"8,335";"909,382426";"4,55625915700765E-15";"7,9168";"8,6356";"7,9662";"8,6841";"Calculado"
"LTN";20170721;100000;20150109;20190101;"8,3856";"8,3731";"8,3798";"891,117779";"3,66978943501593E-03";"7,9434";"8,714";"8,0063";"8,7761";"Calculado"
"LTN";20170721;100000;20170106;20190401;"8,53";"8,5192";"8,5224";"872,005285";"2,4281527805986E-03";"8,0859";"8,9006";"8,1477";"8,9618";"Calculado"
"LTN";20170721;100000;20150703;20190701;"8,6643";"8,6536";"8,6582";"852,583828";"3,66787858759403E-03";"8,2184";"9,0769";"8,2769";"9,1344";"Calculado"
"LTN";20170721;100000;20170707;20191001;"8,86";"8,8531";"8,855";"830,953925";"1,99922366260501E-15";"8,441";"9,3265";"8,4801";"9,3651";"Calculado"
"LTN";20170721;100000;20160108;20200101;"8,9371";"8,927";"8,9314";"811,850781";"2,21317603189359E-03";"8,5348";"9,4483";"8,5554";"9,4685";"Calculado"
"LTN";20170721;100000;20160708;20200701;"9,2407";"9,235";"9,2371";"772,293717";"2,47033683989919E-03";"8,802";"9,8032";"8,8122";"9,8127";"Calculado"
"LTN";20170721;100000;20170707;20210701;"9,667";"9,66";"9,6634";"696,518528";"1,93842719749848E-03";"9,2079";"10,2996";"9,1885";"10,2801";"Calculado"
"NTN-C";20170721;770100;20000701;20210401;"--";"--";"4,8124";"3717,104403";"6,89585213230686E-02";"3,7058";"6,2522";"3,6005";"6,1585";"Calculado"
"NTN-C";20170721;770100;20000701;20310101;"--";"--";"5,2101";"5749,606148";"2,07064092641719E-02";"4,02";"6,6018";"3,9803";"6,5892";"Calculado"
"LFT";20170721;210100;20000701;20170907;"--";"--";"0";"8972,037357";"9,07310205398381E-08";"-0,008";"0,0104";"-0,0082";"0,0106";"Calculado"
"LFT";20170721;210100;20000701;20180301;"--";"--";"0,003";"8971,87586";"1,88864775728227E-04";"-0,0094";"0,0135";"-0,0094";"0,0133";"Calculado"
"LFT";20170721;210100;20000701;20180901;"--";"--";"0,0025";"8971,786139";"2,84665026611785E-04";"-0,0053";"0,0135";"-0,0054";"0,0132";"Calculado"
"LFT";20170721;210100;20000701;20190301;"--";"--";"0,0052";"8971,283705";"4,4084277968961E-04";"-0,0034";"0,0156";"-0,0035";"0,0153";"Calculado"
"LFT";20170721;210100;20000701;20200301;"--";"--";"0,0101";"8969,677711";"1,83461861843729E-04";"0,0006";"0,0193";"0,0004";"0,0191";"Calculado"
"LFT";20170721;210100;20000701;20200901;"--";"--";"0,0112";"8968,915087";"3,28934788022736E-04";"0,0011";"0,0215";"0,0011";"0,0212";"Calculado"
"LFT";20170721;210100;20000701;20210301;"--";"--";"0,0128";"8967,919191";"1,67144226456189E-04";"0,0042";"0,0202";"0,0043";"0,0197";"Calculado"
"LFT";20170721;210100;20000701;20210901;"--";"--";"0,0129";"8967,291149";"2,57542819757918E-04";"0,0055";"0,0202";"0,0055";"0,0198";"Calculado"
"LFT";20170721;210100;20000701;20220301;"--";"--";"0,0131";"8966,645162";"2,62222061903363E-04";"0,005";"0,0213";"0,0049";"0,0211";"Calculado"
"LFT";20170721;210100;20000701;20220901;"--";"--";"0,0128";"8966,187588";"1,15744470689476E-04";"0,0052";"0,0208";"0,0053";"0,0204";"Calculado"
"LFT";20170721;210100;20000701;20230301;"--";"--";"0,0127";"8965,676182";"1,24553451052908E-04";"0,0046";"0,0205";"0,0046";"0,0202";"Calculado"
"LFT";20170721;210100;20000701;20230901;"--";"--";"0,0126";"8965,146832";"1,76982565880354E-04";"0,0039";"0,0199";"0,0036";"0,0198";"Calculado"
"NTN-B";20170721;760199;20000715;20180815;"3,834";"3,807";"3,82";"3136,799078";"1,81456243259692E-15";"3,5942";"4,5404";"3,2882";"4,2351";"Calculado"
"NTN-B";20170721;760199;20000715;20190515;"3,9647";"3,9404";"3,9548";"3132,075506";"6,04783884373634E-03";"3,6949";"4,504";"3,5288";"4,3387";"Calculado"
"NTN-B";20170721;760199;20000715;20200815;"4,5479";"4,512";"4,53";"3193,062867";"0";"4,3109";"4,9799";"4,2105";"4,8796";"Calculado"
"NTN-B";20170721;760199;20000715;20210515;"4,8322";"4,81";"4,82";"3147,473512";"1,820224107611E-15";"4,5954";"5,2546";"4,5149";"5,1743";"Calculado"
"NTN-B";20170721;760199;20000715;20220815;"5,0322";"5,014";"5,0222";"3199,33103";"5,00270862594064E-03";"4,7805";"5,4262";"4,7309";"5,3764";"Calculado"
"NTN-B";20170721;760100;20000715;20230315;"--";"--";"5,1063";"3185,477613";"7,39929355980625E-03";"4,848";"5,4883";"4,8181";"5,4583";"Calculado"
"NTN-B";20170721;760199;20000715;20230515;"5,12";"5,1";"5,11";"3159,572801";"0";"4,8508";"5,4892";"4,8231";"5,4613";"Calculado"
"NTN-B";20170721;760199;20000715;20240815;"5,0984";"5,0606";"5,0823";"3231,438149";"7,6170666554452E-03";"4,831";"5,4527";"4,8061";"5,4277";"Calculado"
"NTN-B";20170721;760199;20000715;20260815;"5,2";"5,1731";"5,19";"3243,049515";"9,17306727455842E-16";"4,9281";"5,5361";"4,9183";"5,526";"Calculado"
"NTN-B";20170721;760199;20000715;20300815;"5,2641";"5,2188";"5,2476";"3282,403635";"3,95128437616722E-03";"4,9938";"5,607";"4,9668";"5,5797";"Calculado"
"NTN-B";20170721;760199;20000715;20350515;"5,2911";"5,2456";"5,27";"3278,302689";"1,83461345491168E-15";"5,0027";"5,6201";"4,9827";"5,5999";"Calculado"
"NTN-B";20170721;760199;20000715;20400815;"5,2923";"5,2326";"5,2675";"3362,285285";"1,01379375504971E-02";"4,9986";"5,6182";"4,9762";"5,5956";"Calculado"
"NTN-B";20170721;760199;20000715;20450515;"5,3937";"5,3408";"5,3763";"3297,289772";"6,86406472983714E-03";"5,1065";"5,727";"5,0829";"5,7031";"Calculado"
"NTN-B";20170721;760199;20000715;20500815;"5,3539";"5,3018";"5,3339";"3381,544767";"7,68547347032464E-03";"5,0683";"5,6892";"5,0389";"5,6597";"Calculado"
"NTN-B";20170721;760199;20000715;20550515;"5,3079";"5,2597";"5,2875";"3376,839156";"7,51664818918564E-03";"5,0139";"5,6351";"4,9914";"5,6125";"Calculado"
"NTN-F";20170721;950199;20120106;20180101;"8,5365";"8,5221";"8,5315";"1011,660649";"2,1650635094606E-03";"8,2069";"8,7835";"8,218";"8,7932";"Calculado"
"NTN-F";20170721;950199;20130104;20190101;"8,3709";"8,325";"8,3564";"1027,304194";"3,55089302948594E-03";"7,9249";"8,6871";"7,9842";"8,7457";"Calculado"
"NTN-F";20170721;950199;20100205;20210101;"9,3";"9,29";"9,295";"1025,960961";"3,90883488577871E-15";"8,8751";"9,9034";"8,8499";"9,8779";"Calculado"
"NTN-F";20170721;950199;20120309;20230101;"9,77";"9,7615";"9,7662";"1016,316623";"1,80056193199606E-03";"9,3223";"10,3869";"9,3147";"10,3795";"Calculado"
"NTN-F";20170721;950199;20140110;20250101;"9,927";"9,9125";"9,92";"1011,302045";"4,03771288907069E-15";"9,4403";"10,5415";"9,4303";"10,5317";"Calculado"
"NTN-F";20170721;950199;20160115;20270101;"10,0422";"10,0293";"10,035";"1005,514094";"1,89900533991096E-15";"9,5011";"10,6556";"9,4861";"10,6407";"Calculado"
