"Mês de Coleta";"Data";"Projeção (%)";"Data de Validade";"IPCA Efetivo (%)";"data_coleta"
"Junho";"23/06/2017";"-0,17";"26/06/2017";"-0,23";"2017_07_21"
NA;"09/06/2017";"-0,12";"19/06/2017";NA;"2017_07_21"
"Maio";"23/05/2017";"0,48";"24/05/2017";"0,31";"2017_07_21"
NA;"10/05/2017";"0,50";"16/05/2017";NA;"2017_07_21"
"Abril";"07/04/2017";"0,22";"18/04/2017";"0,14";"2017_07_21"
NA;"20/04/2017";"0,16";"24/04/2017";NA;"2017_07_21"
"Março";"22/03/2017";"0,24";"23/03/2017";"0,25";"2017_07_21"
NA;"10/03/2017";"0,22";"16/03/2017";NA;"2017_07_21"
"Fevereiro";"22/02/2017";"0,44";"23/02/2017";"0,33";"2017_07_21"
NA;"08/02/2015";"0,47";"16/02/2017";NA;"2017_07_21"
"Janeiro de 2017";"19/01/2017";"0,49";"20/01/2017";"0,38";"2017_07_21"
NA;"11/01/2017";"0,56";"17/01/2017";NA;"2017_07_21"
"Dezembro";"21/12/2016";"0,31";"22/12/2016";"0,30";"2017_07_21"
NA;"09/12/2016";"0,48";"16/12/2016";NA;"2017_07_21"
"Novembro";"23/11/2016";"0,31";"24/11/2016";"0,18";"2017_07_21"
NA;"09/11/2016";"0,39";"17/11/2016";NA;"2017_07_21"
"Outubro";"21/10/2016";"0,29";"24/10/2016";"0,26";"2017_07_21"
NA;"07/10/2016";"0,34";"18/10/2016";NA;"2017_07_21"
"Setembro";"22/09/2016";"0,20";"23/09/2016";"0,08";"2017_07_21"
NA;"09/09/2016";"0,31";"16/09/2016";NA;"2017_07_21"
"Agosto";"24/08/2016";"0,43";"25/08/2016";"0,44";"2017_07_21"
NA;"10/08/2016";"0,39";"16/08/2016";NA;"2017_07_21"
"Julho";"21/07/2016";"0,43";"22/07/2016";"0,52";"2017_07_21"
NA;"08/07/2016";"0,45";"18/07/2016";NA;"2017_07_21"
