"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"ACF - Futuro de Açúcar Cristal";"U16";"84,86";"86,96";"2,10";"1.066,80";"22/08/2016"
"ACF - Futuro de Açúcar Cristal";"Z16";"86,63";"88,62";"1,99";"1.010,92";"22/08/2016"
"AUD - Dólar comercial australiano";"U16";"2.459,3010";"2.455,0300";"-4,2710";"256,26";"22/08/2016"
"AUD - Dólar comercial australiano";"V16";"2.479,9890";"2.476,1700";"-3,8190";"229,14";"22/08/2016"
"AUD - Dólar comercial australiano";"X16";"2.499,8680";"2.496,3760";"-3,4920";"209,52";"22/08/2016"
"BGI - Boi gordo";"Q16";"149,70";"149,99";"0,29";"95,70";"22/08/2016"
"BGI - Boi gordo";"U16";"150,40";"150,00";"-0,40";"132,00";"22/08/2016"
"BGI - Boi gordo";"V16";"153,37";"153,25";"-0,12";"39,60";"22/08/2016"
"BGI - Boi gordo";"X16";"153,45";"154,02";"0,57";"188,10";"22/08/2016"
"BGI - Boi gordo";"Z16";"153,71";"154,50";"0,79";"260,70";"22/08/2016"
"BGI - Boi gordo";"F17";"155,51";"156,12";"0,61";"201,30";"22/08/2016"
"BGI - Boi gordo";"K17";"148,33";"148,94";"0,61";"201,30";"22/08/2016"
"BGI - Boi gordo";"V17";"158,15";"158,77";"0,62";"204,60";"22/08/2016"
"BRI - IBrX-50";"V16";"10.057";"9.827";"-230";"2.300,00";"22/08/2016"
"CAD - Dólar comercial canadense";"U16";"2.510,1430";"2.485,7880";"-24,3550";"1.461,30";"22/08/2016"
"CAD - Dólar comercial canadense";"V16";"2.533,7390";"2.510,9760";"-22,7630";"1.365,78";"22/08/2016"
"CCM - Milho";"U16";"43,83";"43,81";"-0,02";"9,00";"22/08/2016"
"CCM - Milho";"X16";"43,88";"43,84";"-0,04";"18,00";"22/08/2016"
"CCM - Milho";"F17";"43,90";"43,86";"-0,04";"18,00";"22/08/2016"
"CCM - Milho";"H17";"41,29";"41,20";"-0,09";"40,50";"22/08/2016"
"CCM - Milho";"K17";"39,39";"39,35";"-0,04";"18,00";"22/08/2016"
"CCM - Milho";"U17";"37,69";"37,65";"-0,04";"18,00";"22/08/2016"
"CHF - FRANCO SUÍÇO";"U16";"3.365,5700";"3.349,2560";"-16,3140";"815,70";"22/08/2016"
"CLP - PESO CHILENO";"U16";"4.877,0000";"4.807,7000";"-69,3000";"1.732,50";"22/08/2016"
"CLP - PESO CHILENO";"V16";"4.900,2000";"4.841,6000";"-58,6000";"1.465,00";"22/08/2016"
"DAP - Cupom de DI x IPCA";"U16";"99.450,38";"99.451,17";"0,79";"0,93";"22/08/2016"
"DAP - Cupom de DI x IPCA";"V16";"98.720,77";"98.749,93";"29,16";"34,40";"22/08/2016"
"DAP - Cupom de DI x IPCA";"F17";"96.955,83";"96.998,54";"42,71";"50,39";"22/08/2016"
"DAP - Cupom de DI x IPCA";"K17";"95.658,38";"95.642,09";"-16,29";"19,22";"22/08/2016"
"DAP - Cupom de DI x IPCA";"Q18";"88.761,55";"88.801,31";"39,76";"46,91";"22/08/2016"
"DAP - Cupom de DI x IPCA";"K19";"85.222,96";"85.169,88";"-53,08";"62,63";"22/08/2016"
"DAP - Cupom de DI x IPCA";"Q20";"79.235,28";"79.166,92";"-68,36";"80,66";"22/08/2016"
"DAP - Cupom de DI x IPCA";"K21";"76.008,18";"75.898,24";"-109,94";"129,73";"22/08/2016"
"DAP - Cupom de DI x IPCA";"Q22";"70.660,52";"70.612,59";"-47,93";"56,55";"22/08/2016"
"DAP - Cupom de DI x IPCA";"K23";"68.153,29";"67.930,16";"-223,13";"263,30";"22/08/2016"
"DAP - Cupom de DI x IPCA";"Q24";"63.856,19";"63.704,60";"-151,59";"178,88";"22/08/2016"
"DDI - Cupom cambial";"U16";"99.629,31";"99.332,54";"-296,77";"478,79";"22/08/2016"
"DDI - Cupom cambial";"V16";"99.466,00";"99.179,62";"-286,38";"462,03";"22/08/2016"
"DDI - Cupom cambial";"X16";"99.307,41";"99.027,39";"-280,02";"451,77";"22/08/2016"
"DDI - Cupom cambial";"Z16";"99.152,20";"98.876,52";"-275,68";"444,76";"22/08/2016"
"DDI - Cupom cambial";"F17";"98.975,15";"98.698,25";"-276,90";"446,73";"22/08/2016"
"DDI - Cupom cambial";"G17";"98.802,37";"98.527,83";"-274,54";"442,92";"22/08/2016"
"DDI - Cupom cambial";"H17";"98.647,27";"98.371,62";"-275,65";"444,71";"22/08/2016"
"DDI - Cupom cambial";"J17";"98.450,99";"98.185,53";"-265,46";"428,27";"22/08/2016"
"DDI - Cupom cambial";"K17";"98.276,86";"98.009,40";"-267,46";"431,50";"22/08/2016"
"DDI - Cupom cambial";"M17";"98.091,08";"97.816,20";"-274,88";"443,47";"22/08/2016"
"DDI - Cupom cambial";"N17";"97.893,70";"97.633,61";"-260,09";"419,61";"22/08/2016"
"DDI - Cupom cambial";"Q17";"97.669,46";"97.403,23";"-266,23";"429,52";"22/08/2016"
"DDI - Cupom cambial";"V17";"97.218,31";"96.981,30";"-237,01";"382,38";"22/08/2016"
"DDI - Cupom cambial";"F18";"96.610,64";"96.335,25";"-275,39";"444,30";"22/08/2016"
"DDI - Cupom cambial";"J18";"95.953,14";"95.716,37";"-236,77";"381,99";"22/08/2016"
"DDI - Cupom cambial";"N18";"95.253,59";"95.000,82";"-252,77";"407,80";"22/08/2016"
"DDI - Cupom cambial";"V18";"94.474,90";"94.235,41";"-239,49";"386,38";"22/08/2016"
"DDI - Cupom cambial";"F19";"93.629,78";"93.374,36";"-255,42";"412,08";"22/08/2016"
"DDI - Cupom cambial";"J19";"92.801,21";"92.581,73";"-219,48";"354,09";"22/08/2016"
"DDI - Cupom cambial";"N19";"91.931,30";"91.734,40";"-196,90";"317,66";"22/08/2016"
"DDI - Cupom cambial";"V19";"91.080,95";"90.887,75";"-193,20";"311,69";"22/08/2016"
"DDI - Cupom cambial";"F20";"89.983,49";"89.827,17";"-156,32";"252,19";"22/08/2016"
"DDI - Cupom cambial";"J20";"88.985,24";"88.843,39";"-141,85";"228,85";"22/08/2016"
"DDI - Cupom cambial";"N20";"88.076,63";"87.891,31";"-185,32";"298,98";"22/08/2016"
"DDI - Cupom cambial";"V20";"86.989,68";"86.823,06";"-166,62";"268,81";"22/08/2016"
"DDI - Cupom cambial";"F21";"86.054,64";"85.875,49";"-179,15";"289,03";"22/08/2016"
"DDI - Cupom cambial";"J21";"85.104,22";"85.016,12";"-88,10";"142,13";"22/08/2016"
"DDI - Cupom cambial";"N21";"84.078,86";"84.018,63";"-60,23";"97,17";"22/08/2016"
"DDI - Cupom cambial";"F22";"82.188,97";"82.080,09";"-108,88";"175,66";"22/08/2016"
"DDI - Cupom cambial";"F23";"78.086,38";"77.957,31";"-129,07";"208,23";"22/08/2016"
"DDI - Cupom cambial";"F24";"73.669,24";"73.527,94";"-141,30";"227,96";"22/08/2016"
"DDI - Cupom cambial";"F25";"69.450,25";"69.342,05";"-108,20";"174,56";"22/08/2016"
"DDI - Cupom cambial";"F26";"64.941,53";"64.792,02";"-149,51";"241,21";"22/08/2016"
"DDI - Cupom cambial";"F27";"60.788,92";"60.640,99";"-147,93";"238,66";"22/08/2016"
"DDI - Cupom cambial";"F30";"51.163,82";"51.057,55";"-106,27";"171,45";"22/08/2016"
"DI1 - DI de 1 dia";"U16";"99.581,45";"99.581,35";"-0,10";"0,10";"22/08/2016"
"DI1 - DI de 1 dia";"V16";"98.491,45";"98.491,42";"-0,03";"0,03";"22/08/2016"
"DI1 - DI de 1 dia";"X16";"97.468,57";"97.467,79";"-0,78";"0,78";"22/08/2016"
"DI1 - DI de 1 dia";"Z16";"96.457,56";"96.457,39";"-0,17";"0,17";"22/08/2016"
"DI1 - DI de 1 dia";"F17";"95.385,16";"95.383,15";"-2,01";"2,01";"22/08/2016"
"DI1 - DI de 1 dia";"G17";"94.335,41";"94.334,63";"-0,78";"0,78";"22/08/2016"
"DI1 - DI de 1 dia";"H17";"93.510,40";"93.513,10";"2,70";"2,70";"22/08/2016"
"DI1 - DI de 1 dia";"J17";"92.480,07";"92.473,55";"-6,52";"6,52";"22/08/2016"
"DI1 - DI de 1 dia";"K17";"91.711,29";"91.702,71";"-8,58";"8,58";"22/08/2016"
"DI1 - DI de 1 dia";"M17";"90.780,25";"90.769,29";"-10,96";"10,96";"22/08/2016"
"DI1 - DI de 1 dia";"N17";"89.900,36";"89.887,59";"-12,77";"12,77";"22/08/2016"
"DI1 - DI de 1 dia";"Q17";"89.066,17";"89.050,65";"-15,52";"15,52";"22/08/2016"
"DI1 - DI de 1 dia";"V17";"87.382,12";"87.361,42";"-20,70";"20,70";"22/08/2016"
"DI1 - DI de 1 dia";"F18";"85.117,29";"85.092,63";"-24,66";"24,66";"22/08/2016"
"DI1 - DI de 1 dia";"J18";"82.878,64";"82.850,56";"-28,08";"28,08";"22/08/2016"
"DI1 - DI de 1 dia";"N18";"80.666,73";"80.622,15";"-44,58";"44,58";"22/08/2016"
"DI1 - DI de 1 dia";"V18";"78.501,19";"78.452,08";"-49,11";"49,11";"22/08/2016"
"DI1 - DI de 1 dia";"F19";"76.508,40";"76.439,14";"-69,26";"69,26";"22/08/2016"
"DI1 - DI de 1 dia";"J19";"74.556,35";"74.482,18";"-74,17";"74,17";"22/08/2016"
"DI1 - DI de 1 dia";"N19";"72.573,27";"72.476,27";"-97,00";"97,00";"22/08/2016"
"DI1 - DI de 1 dia";"V19";"70.470,33";"70.387,29";"-83,04";"83,04";"22/08/2016"
"DI1 - DI de 1 dia";"F20";"68.513,49";"68.446,93";"-66,56";"66,56";"22/08/2016"
"DI1 - DI de 1 dia";"J20";"66.655,35";"66.564,83";"-90,52";"90,52";"22/08/2016"
"DI1 - DI de 1 dia";"N20";"64.879,51";"64.807,94";"-71,57";"71,57";"22/08/2016"
"DI1 - DI de 1 dia";"V20";"63.133,07";"62.932,32";"-200,75";"200,75";"22/08/2016"
"DI1 - DI de 1 dia";"F21";"61.454,74";"61.354,57";"-100,17";"100,17";"22/08/2016"
"DI1 - DI de 1 dia";"J21";"59.808,60";"59.705,94";"-102,66";"102,66";"22/08/2016"
"DI1 - DI de 1 dia";"N21";"58.180,65";"58.075,67";"-104,98";"104,98";"22/08/2016"
"DI1 - DI de 1 dia";"V21";"56.521,48";"56.442,52";"-78,96";"78,96";"22/08/2016"
"DI1 - DI de 1 dia";"F22";"54.958,53";"54.901,76";"-56,77";"56,77";"22/08/2016"
"DI1 - DI de 1 dia";"N22";"51.934,21";"51.846,35";"-87,86";"87,86";"22/08/2016"
"DI1 - DI de 1 dia";"F23";"49.010,03";"48.895,44";"-114,59";"114,59";"22/08/2016"
"DI1 - DI de 1 dia";"N23";"46.322,85";"46.237,46";"-85,39";"85,39";"22/08/2016"
"DI1 - DI de 1 dia";"F24";"43.762,98";"43.702,43";"-60,55";"60,55";"22/08/2016"
"DI1 - DI de 1 dia";"N24";"41.369,53";"41.276,99";"-92,54";"92,54";"22/08/2016"
"DI1 - DI de 1 dia";"F25";"38.998,43";"38.879,63";"-118,80";"118,80";"22/08/2016"
"DI1 - DI de 1 dia";"F26";"34.697,82";"34.637,47";"-60,35";"60,35";"22/08/2016"
"DI1 - DI de 1 dia";"F27";"30.891,19";"30.803,67";"-87,52";"87,52";"22/08/2016"
"DI1 - DI de 1 dia";"F29";"24.548,76";"24.466,28";"-82,48";"82,48";"22/08/2016"
"DI1 - DI de 1 dia";"F30";"21.921,37";"21.841,91";"-79,46";"79,46";"22/08/2016"
"DOL - Dólar comercial";"U16";"3.228,2530";"3.218,6340";"-9,6190";"480,95";"22/08/2016"
"DOL - Dólar comercial";"V16";"3.258,6280";"3.249,2460";"-9,3820";"469,10";"22/08/2016"
"DOL - Dólar comercial";"X16";"3.287,5750";"3.278,3310";"-9,2440";"462,20";"22/08/2016"
"DOL - Dólar comercial";"Z16";"3.316,8420";"3.307,6250";"-9,2170";"460,85";"22/08/2016"
"DOL - Dólar comercial";"F17";"3.348,1430";"3.338,8460";"-9,2970";"464,85";"22/08/2016"
"DOL - Dólar comercial";"G17";"3.379,4900";"3.370,1280";"-9,3620";"468,10";"22/08/2016"
"DOL - Dólar comercial";"H17";"3.403,9550";"3.394,3450";"-9,6100";"480,50";"22/08/2016"
"DOL - Dólar comercial";"J17";"3.435,0300";"3.426,0090";"-9,0210";"451,05";"22/08/2016"
"DOL - Dólar comercial";"K17";"3.457,6980";"3.448,6100";"-9,0880";"454,40";"22/08/2016"
"DOL - Dólar comercial";"N17";"3.513,5970";"3.504,7590";"-8,8380";"441,90";"22/08/2016"
"DOL - Dólar comercial";"Q17";"3.538,3810";"3.529,3510";"-9,0300";"451,50";"22/08/2016"
"DOL - Dólar comercial";"V17";"3.589,9140";"3.582,0110";"-7,9030";"395,15";"22/08/2016"
