"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.528,1620";"2.513,6470";"-14,5150";"870,90";"28/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.542,3800";"2.527,9810";"-14,3990";"863,94";"28/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.557,9920";"2.543,8190";"-14,1730";"850,38";"28/06/2017"
"BGI - Boi gordo";"M17";"127,34";"127,71";"0,37";"122,10";"28/06/2017"
"BGI - Boi gordo";"N17";"123,80";"123,35";"-0,45";"148,50";"28/06/2017"
"BGI - Boi gordo";"Q17";"124,60";"123,70";"-0,90";"297,00";"28/06/2017"
"BGI - Boi gordo";"U17";"124,87";"123,60";"-1,27";"419,10";"28/06/2017"
"BGI - Boi gordo";"V17";"125,50";"124,22";"-1,28";"422,40";"28/06/2017"
"BGI - Boi gordo";"X17";"126,17";"124,88";"-1,29";"425,70";"28/06/2017"
"BGI - Boi gordo";"Z17";"126,58";"125,29";"-1,29";"425,70";"28/06/2017"
"BGI - Boi gordo";"K18";"127,05";"125,79";"-1,26";"415,80";"28/06/2017"
"BGI - Boi gordo";"V18";"132,00";"130,71";"-1,29";"425,70";"28/06/2017"
"BRI - IBrX-50";"Q17";"10.414";"10.464";"50";"500,00";"28/06/2017"
"BRI - IBrX-50";"V17";"10.559";"10.610";"51";"510,00";"28/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.531,0790";"2.526,1200";"-4,9590";"297,54";"28/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.547,8260";"2.544,2850";"-3,5410";"212,46";"28/06/2017"
"CAD - Dólar comercial canadense";"U17";"2.565,9860";"2.562,6030";"-3,3830";"202,98";"28/06/2017"
"CCM - Milho";"N17";"25,60";"25,46";"-0,14";"63,00";"28/06/2017"
"CCM - Milho";"U17";"25,18";"25,33";"0,15";"67,50";"28/06/2017"
"CCM - Milho";"X17";"26,33";"26,50";"0,17";"76,50";"28/06/2017"
"CCM - Milho";"F18";"26,70";"26,95";"0,25";"112,50";"28/06/2017"
"CCM - Milho";"H18";"28,46";"28,55";"0,09";"40,50";"28/06/2017"
"CCM - Milho";"U18";"28,93";"29,10";"0,17";"76,50";"28/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.470,2370";"3.431,3530";"-38,8840";"1.944,20";"28/06/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.497,6850";"3.459,4910";"-38,1940";"1.909,70";"28/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.527,6570";"3.489,9700";"-37,6870";"1.884,35";"28/06/2017"
"CLP - PESO CHILENO";"N17";"5.027,1000";"4.964,2000";"-62,9000";"1.572,50";"28/06/2017"
"CLP - PESO CHILENO";"U17";"5.079,4000";"5.015,0000";"-64,4000";"1.610,00";"28/06/2017"
"CNY - IUAN";"N17";"4.885,7010";"4.837,6750";"-48,0260";"1.680,91";"28/06/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.374,28";"99.376,94";"2,66";"3,21";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q17";"98.725,77";"98.729,57";"3,80";"4,59";"28/06/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.170,76";"97.201,35";"30,59";"37,01";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.644,86";"94.700,68";"55,82";"67,54";"28/06/2017"
"DAP - Cupom de DI x IPCA";"K19";"91.441,78";"91.497,99";"56,21";"68,01";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.975,68";"85.029,47";"53,79";"65,08";"28/06/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.225,52";"81.413,53";"188,01";"227,50";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.454,74";"75.692,19";"237,45";"287,33";"28/06/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.404,80";"72.668,19";"263,39";"318,71";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.786,28";"67.952,15";"165,87";"200,71";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.322,20";"60.515,74";"193,54";"234,19";"28/06/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.441,81";"48.730,64";"288,83";"349,50";"28/06/2017"
"DDI - Cupom cambial";"N17";"100.250,67";"99.086,20";"-1.164,47";"1.931,38";"28/06/2017"
"DDI - Cupom cambial";"Q17";"100.053,50";"98.899,69";"-1.153,81";"1.913,70";"28/06/2017"
"DDI - Cupom cambial";"U17";"99.898,32";"98.758,93";"-1.139,39";"1.889,79";"28/06/2017"
"DDI - Cupom cambial";"V17";"99.709,52";"98.572,67";"-1.136,85";"1.885,57";"28/06/2017"
"DDI - Cupom cambial";"X17";"99.522,95";"98.395,17";"-1.127,78";"1.870,53";"28/06/2017"
"DDI - Cupom cambial";"Z17";"99.351,04";"98.229,25";"-1.121,79";"1.860,60";"28/06/2017"
"DDI - Cupom cambial";"F18";"99.145,69";"98.024,05";"-1.121,64";"1.860,35";"28/06/2017"
"DDI - Cupom cambial";"G18";"98.978,38";"97.860,71";"-1.117,67";"1.853,76";"28/06/2017"
"DDI - Cupom cambial";"H18";"98.780,58";"97.670,72";"-1.109,86";"1.840,81";"28/06/2017"
"DDI - Cupom cambial";"J18";"98.546,19";"97.456,28";"-1.089,91";"1.807,72";"28/06/2017"
"DDI - Cupom cambial";"K18";"98.344,01";"97.262,28";"-1.081,73";"1.794,15";"28/06/2017"
"DDI - Cupom cambial";"M18";"98.122,34";"97.038,96";"-1.083,38";"1.796,89";"28/06/2017"
"DDI - Cupom cambial";"N18";"97.922,97";"96.843,39";"-1.079,58";"1.790,59";"28/06/2017"
"DDI - Cupom cambial";"V18";"97.265,10";"96.225,30";"-1.039,80";"1.724,61";"28/06/2017"
"DDI - Cupom cambial";"F19";"96.547,81";"95.496,52";"-1.051,29";"1.743,66";"28/06/2017"
"DDI - Cupom cambial";"J19";"95.864,73";"94.825,38";"-1.039,35";"1.723,86";"28/06/2017"
"DDI - Cupom cambial";"N19";"95.097,11";"94.080,83";"-1.016,28";"1.685,60";"28/06/2017"
"DDI - Cupom cambial";"V19";"94.281,24";"93.307,16";"-974,08";"1.615,60";"28/06/2017"
"DDI - Cupom cambial";"F20";"93.441,35";"92.477,42";"-963,93";"1.598,77";"28/06/2017"
"DDI - Cupom cambial";"J20";"92.635,79";"91.682,56";"-953,23";"1.581,02";"28/06/2017"
"DDI - Cupom cambial";"N20";"91.722,00";"90.772,31";"-949,69";"1.575,15";"28/06/2017"
"DDI - Cupom cambial";"V20";"90.796,34";"89.888,99";"-907,35";"1.504,93";"28/06/2017"
"DDI - Cupom cambial";"F21";"89.851,49";"88.914,93";"-936,56";"1.553,37";"28/06/2017"
"DDI - Cupom cambial";"J21";"89.031,88";"88.075,23";"-956,65";"1.586,69";"28/06/2017"
"DDI - Cupom cambial";"N21";"88.045,97";"87.136,86";"-909,11";"1.507,84";"28/06/2017"
"DDI - Cupom cambial";"V21";"87.130,75";"86.276,98";"-853,77";"1.416,06";"28/06/2017"
"DDI - Cupom cambial";"F22";"86.053,40";"85.200,04";"-853,36";"1.415,38";"28/06/2017"
"DDI - Cupom cambial";"J22";"85.281,21";"84.292,00";"-989,21";"1.640,70";"28/06/2017"
"DDI - Cupom cambial";"N22";"84.125,75";"83.145,27";"-980,48";"1.626,22";"28/06/2017"
"DDI - Cupom cambial";"F23";"81.967,04";"81.010,54";"-956,50";"1.586,45";"28/06/2017"
"DDI - Cupom cambial";"F24";"77.711,29";"76.843,87";"-867,42";"1.438,70";"28/06/2017"
"DDI - Cupom cambial";"F25";"73.747,89";"72.962,08";"-785,81";"1.303,34";"28/06/2017"
"DDI - Cupom cambial";"F26";"69.762,45";"69.002,53";"-759,92";"1.260,40";"28/06/2017"
"DDI - Cupom cambial";"F27";"65.947,05";"65.266,73";"-680,32";"1.128,37";"28/06/2017"
"DDI - Cupom cambial";"F28";"62.408,03";"61.773,09";"-634,94";"1.053,11";"28/06/2017"
"DDI - Cupom cambial";"F30";"55.815,07";"55.246,09";"-568,98";"943,71";"28/06/2017"
"DI1 - DI de 1 dia";"N17";"99.885,01";"99.885,07";"0,06";"0,06";"28/06/2017"
"DI1 - DI de 1 dia";"Q17";"99.092,15";"99.092,70";"0,55";"0,55";"28/06/2017"
"DI1 - DI de 1 dia";"U17";"98.292,95";"98.293,16";"0,21";"0,21";"28/06/2017"
