"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";2490,136;2496,414;6,278;376,68;"14/07/2017"
"AUD - Dólar comercial australiano";"U17";2505,531;2511,19;5,659;339,54;"14/07/2017"
"BGI - Boi gordo";"N17";123,69;123,62;-0,07;23,1;"14/07/2017"
"BGI - Boi gordo";"Q17";125,78;126,39;0,61;201,3;"14/07/2017"
"BGI - Boi gordo";"U17";126,75;128,05;1,3;429;"14/07/2017"
"BGI - Boi gordo";"V17";127,89;129,2;1,31;432,3;"14/07/2017"
"BGI - Boi gordo";"X17";127,97;129,28;1,31;432,3;"14/07/2017"
"BGI - Boi gordo";"Z17";128,39;129,7;1,31;432,3;"14/07/2017"
"BGI - Boi gordo";"K18";128,3;129,08;0,78;257,4;"14/07/2017"
"BGI - Boi gordo";"V18";133,37;134,55;1,18;389,4;"14/07/2017"
"BRI - IBrX-50";"Q17";10960;11005;45;450;"14/07/2017"
"BRI - IBrX-50";"V17";11112;11158;46;460;"14/07/2017"
"CAD - Dólar comercial canadense";"Q17";2531,576;2523,903;-7,673;460,38;"14/07/2017"
"CAD - Dólar comercial canadense";"U17";2549,264;2541,445;-7,819;469,14;"14/07/2017"
"CCM - Milho";"N17";26,3;26,7;0,4;180;"14/07/2017"
"CCM - Milho";"U17";25,99;26,39;0,4;180;"14/07/2017"
"CCM - Milho";"X17";27,45;27,87;0,42;189;"14/07/2017"
"CCM - Milho";"F18";27,8;28,23;0,43;193,5;"14/07/2017"
"CCM - Milho";"H18";29,8;29;-0,8;360;"14/07/2017"
"CCM - Milho";"K18";29,04;28,2;-0,84;378;"14/07/2017"
"CCM - Milho";"U18";29,54;28,98;-0,56;252;"14/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";3335,28;3315,005;-20,275;1013,75;"14/07/2017"
"CHF - FRANCO SUÍÇO";"U17";3365,408;3343,234;-22,174;1108,7;"14/07/2017"
"CLP - PESO CHILENO";"U17";4899,1;4876;-23,1;577,5;"14/07/2017"
"DAP - Cupom de DI x IPCA";"N17";99950,69;99952,04;1,35;1,63;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";99313,81;99314,33;0,52;0,62;"14/07/2017"
"DAP - Cupom de DI x IPCA";"F18";97833,98;97858,87;24,89;30,07;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";95469,59;95468,53;-1,06;1,28;"14/07/2017"
"DAP - Cupom de DI x IPCA";"F19";93769,91;93779,95;10,04;12,13;"14/07/2017"
"DAP - Cupom de DI x IPCA";"K19";92421,53;92472,24;50,71;61,26;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";85890,65;86016,17;125,52;151,65;"14/07/2017"
"DAP - Cupom de DI x IPCA";"K21";82326,49;82601,51;275,02;332,27;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";76532,14;76915,96;383,82;463,73;"14/07/2017"
"DAP - Cupom de DI x IPCA";"K23";73481,29;73825,34;344,05;415,68;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";68650,55;69045,84;395,29;477,58;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";61425,18;61937,72;512,54;619,25;"14/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";48871,77;49221,38;349,61;422,39;"14/07/2017"
"DDI - Cupom cambial";"Q17";99873,93;98968,75;-905,18;1453,17;"14/07/2017"
"DDI - Cupom cambial";"U17";99719,7;98807,1;-912,6;1465,08;"14/07/2017"
"DDI - Cupom cambial";"V17";99530,07;98617,17;-912,9;1465,56;"14/07/2017"
"DDI - Cupom cambial";"X17";99351,13;98444,84;-906,29;1454,95;"14/07/2017"
"DDI - Cupom cambial";"Z17";99176,49;98272,59;-903,9;1451,12;"14/07/2017"
"DDI - Cupom cambial";"F18";98978,53;98069,56;-908,97;1459,26;"14/07/2017"
"DDI - Cupom cambial";"G18";98802,82;97896,16;-906,66;1455,55;"14/07/2017"
"DDI - Cupom cambial";"H18";98613,41;97715,1;-898,31;1442,14;"14/07/2017"
"DDI - Cupom cambial";"J18";98396,61;97502,21;-894,4;1435,86;"14/07/2017"
"DDI - Cupom cambial";"K18";98214,25;97316,23;-898,02;1441,68;"14/07/2017"
"DDI - Cupom cambial";"M18";97983,69;97099,21;-884,48;1419,94;"14/07/2017"
"DDI - Cupom cambial";"N18";97783,98;96902,41;-881,57;1415,27;"14/07/2017"
"DDI - Cupom cambial";"V18";97138,3;96248,86;-889,44;1427,9;"14/07/2017"
"DDI - Cupom cambial";"F19";96390,15;95525,73;-864,42;1387,73;"14/07/2017"
"DDI - Cupom cambial";"J19";95691,18;94822,58;-868,6;1394,45;"14/07/2017"
"DDI - Cupom cambial";"N19";94920,69;94061,36;-859,33;1379,56;"14/07/2017"
"DDI - Cupom cambial";"V19";94128,36;93271,76;-856,6;1375,18;"14/07/2017"
"DDI - Cupom cambial";"F20";93228,33;92384,49;-843,84;1354,7;"14/07/2017"
"DDI - Cupom cambial";"J20";92417,94;91595,22;-822,72;1320,79;"14/07/2017"
"DDI - Cupom cambial";"N20";91513,65;90671,28;-842,37;1352,34;"14/07/2017"
"DDI - Cupom cambial";"V20";90582,09;89773,88;-808,21;1297,5;"14/07/2017"
"DDI - Cupom cambial";"F21";89553,19;88786,73;-766,46;1230,47;"14/07/2017"
"DDI - Cupom cambial";"J21";88711,59;87934,68;-776,91;1247,25;"14/07/2017"
"DDI - Cupom cambial";"N21";87709,38;86954,34;-755,04;1212,14;"14/07/2017"
"DDI - Cupom cambial";"V21";86812,18;86049,06;-763,12;1225,11;"14/07/2017"
"DDI - Cupom cambial";"F22";85563,29;84797,06;-766,23;1230,1;"14/07/2017"
"DDI - Cupom cambial";"J22";84678;83939,56;-738,44;1185,49;"14/07/2017"
"DDI - Cupom cambial";"N22";83696,96;82954,97;-741,99;1191,19;"14/07/2017"
"DDI - Cupom cambial";"F23";81513,96;80805,47;-708,49;1137,4;"14/07/2017"
"DDI - Cupom cambial";"F24";77320,7;76653,94;-666,76;1070,41;"14/07/2017"
"DDI - Cupom cambial";"F25";72968,01;72316,09;-651,92;1046,59;"14/07/2017"
"DDI - Cupom cambial";"F26";69098,75;68542,76;-555,99;892,58;"14/07/2017"
"DDI - Cupom cambial";"F27";65256,23;64680,17;-576,06;924,8;"14/07/2017"
"DDI - Cupom cambial";"F28";61743,31;61227,61;-515,7;827,9;"14/07/2017"
"DDI - Cupom cambial";"F30";55154,05;54719,81;-434,24;697,12;"14/07/2017"
"DI1 - DI de 1 dia";"Q17";99550,94;99551,05;0,11;0,11;"14/07/2017"
"DI1 - DI de 1 dia";"U17";98752,29;98753,95;1,66;1,66;"14/07/2017"
"DI1 - DI de 1 dia";"V17";98102,59;98105,3;2,71;2,71;"14/07/2017"
"DI1 - DI de 1 dia";"X17";97436,3;97441,21;4,91;4,91;"14/07/2017"
"DI1 - DI de 1 dia";"Z17";96828,04;96832,99;4,95;4,95;"14/07/2017"
"DI1 - DI de 1 dia";"F18";96231,61;96244,98;13,37;13,37;"14/07/2017"
"DI1 - DI de 1 dia";"G18";95586,49;95602,86;16,37;16,37;"14/07/2017"
"DI1 - DI de 1 dia";"H18";95048,13;95067,08;18,95;18,95;"14/07/2017"
"DI1 - DI de 1 dia";"J18";94424,38;94446,34;21,96;21,96;"14/07/2017"
"DI1 - DI de 1 dia";"K18";93797,52;93823,87;26,35;26,35;"14/07/2017"
"DI1 - DI de 1 dia";"M18";93159,83;93190,13;30,3;30,3;"14/07/2017"
"DI1 - DI de 1 dia";"N18";92550,54;92585,59;35,05;35,05;"14/07/2017"
"DI1 - DI de 1 dia";"V18";90592,33;90647,52;55,19;55,19;"14/07/2017"
"DI1 - DI de 1 dia";"F19";88653,23;88707,73;54,5;54,5;"14/07/2017"
"DI1 - DI de 1 dia";"J19";86687,29;86764,15;76,86;76,86;"14/07/2017"
"DI1 - DI de 1 dia";"N19";84664,75;84751,67;86,92;86,92;"14/07/2017"
"DI1 - DI de 1 dia";"V19";82465,6;82595,91;130,31;130,31;"14/07/2017"
"DI1 - DI de 1 dia";"F20";80434,41;80576,71;142,3;142,3;"14/07/2017"
"DI1 - DI de 1 dia";"J20";78407,4;78579,91;172,51;172,51;"14/07/2017"
"DI1 - DI de 1 dia";"N20";76408,04;76612,16;204,12;204,12;"14/07/2017"
"DI1 - DI de 1 dia";"V20";74279,54;74517,4;237,86;237,86;"14/07/2017"
"DI1 - DI de 1 dia";"F21";72369,77;72642,6;272,83;272,83;"14/07/2017"
"DI1 - DI de 1 dia";"J21";70580,74;70853,66;272,92;272,92;"14/07/2017"
"DI1 - DI de 1 dia";"N21";68641,04;68911,84;270,8;270,8;"14/07/2017"
"DI1 - DI de 1 dia";"V21";66794,78;67075,6;280,82;280,82;"14/07/2017"
"DI1 - DI de 1 dia";"F22";65100,83;65390,86;290,03;290,03;"14/07/2017"
"DI1 - DI de 1 dia";"J22";63357,02;63649,46;292,44;292,44;"14/07/2017"
"DI1 - DI de 1 dia";"N22";61904,01;62196,38;292,37;292,37;"14/07/2017"
"DI1 - DI de 1 dia";"F23";58727,45;59018,54;291,09;291,09;"14/07/2017"
"DI1 - DI de 1 dia";"N23";55773,65;56090,18;316,53;316,53;"14/07/2017"
"DI1 - DI de 1 dia";"F24";52901,63;53242,44;340,81;340,81;"14/07/2017"
"DI1 - DI de 1 dia";"N24";50213,12;50577,2;364,08;364,08;"14/07/2017"
"DI1 - DI de 1 dia";"F25";47508,71;47894,94;386,23;386,23;"14/07/2017"
"DI1 - DI de 1 dia";"F26";42838,3;43200,57;362,27;362,27;"14/07/2017"
"DI1 - DI de 1 dia";"F27";38546,53;38877,56;331,03;331,03;"14/07/2017"
"DI1 - DI de 1 dia";"F28";34692,72;35022,11;329,39;329,39;"14/07/2017"
"DI1 - DI de 1 dia";"F29";31285,94;31611,15;325,21;325,21;"14/07/2017"
"DI1 - DI de 1 dia";"F30";28114,61;28432,23;317,62;317,62;"14/07/2017"
"DOL - Dólar comercial";"Q17";3221,221;3192,017;-29,204;1460,2;"14/07/2017"
"DOL - Dólar comercial";"U17";3242,254;3212,528;-29,726;1486,3;"14/07/2017"
"DOL - Dólar comercial";"V17";3257,52;3227,552;-29,968;1498,4;"14/07/2017"
"DOL - Dólar comercial";"X17";3273,899;3243,871;-30,028;1501,4;"14/07/2017"
"DOL - Dólar comercial";"Z17";3288,674;3258,534;-30,14;1507;"14/07/2017"
"DOL - Dólar comercial";"F18";3302,452;3271,669;-30,783;1539,15;"14/07/2017"
"DOL - Dólar comercial";"J18";3345,871;3314,688;-31,183;1559,15;"14/07/2017"
"DOL - Dólar comercial";"K18";3361,99;3330,314;-31,676;1583,8;"14/07/2017"
"DOL - Dólar comercial";"N18";3392,361;3360,504;-31,857;1592,85;"14/07/2017"
"DOL - Dólar comercial";"V18";3442,804;3409,203;-33,601;1680,05;"14/07/2017"
"DOL - Dólar comercial";"J19";3544,294;3509,011;-35,283;1764,15;"14/07/2017"
"DOL - Dólar comercial";"N19";3599,743;3563,496;-36,247;1812,35;"14/07/2017"
"DOL - Dólar comercial";"F21";3973,17;3924,37;-48,8;2440;"14/07/2017"
"ETH - Etanol Hidratado";"N17";1360;1362,5;2,5;75;"14/07/2017"
"ETH - Etanol Hidratado";"Q17";1370;1370;0;0;"14/07/2017"
"ETH - Etanol Hidratado";"V17";1450;1420;-30;900;"14/07/2017"
"ETH - Etanol Hidratado";"X17";1500;1500;0;0;"14/07/2017"
"ETH - Etanol Hidratado";"Z17";1505;1505;0;0;"14/07/2017"
"ETH - Etanol Hidratado";"F18";1550;1550;0;0;"14/07/2017"
"ETH - Etanol Hidratado";"G18";1550;1550;0;0;"14/07/2017"
"ETH - Etanol Hidratado";"H18";1550;1550;0;0;"14/07/2017"
"EUR - Euro";"Q17";3676,635;3662,953;-13,682;684,1;"14/07/2017"
"EUR - Euro";"U17";3705,885;3691,709;-14,176;708,8;"14/07/2017"
"EUR - Euro";"V17";3728,891;3714,46;-14,431;721,55;"14/07/2017"
"FRC - FRA de cupom";"U17";1,8;1,9;0,1;0,05;"14/07/2017"
"FRC - FRA de cupom";"V17";2;2,07;0,07;0,03;"14/07/2017"
"FRC - FRA de cupom";"X17";2,06;2,08;0,02;0,01;"14/07/2017"
"FRC - FRA de cupom";"Z17";2,07;2,09;0,02;0,01;"14/07/2017"
"FRC - FRA de cupom";"F18";2,11;2,14;0,03;0,01;"14/07/2017"
"FRC - FRA de cupom";"G18";2,12;2,14;0,02;0,01;"14/07/2017"
"FRC - FRA de cupom";"J18";2,22;2,22;0;0;"14/07/2017"
"FRC - FRA de cupom";"K18";2,22;2,23;0,01;0;"14/07/2017"
"FRC - FRA de cupom";"M18";2,28;2,28;0;0;"14/07/2017"
"FRC - FRA de cupom";"N18";2,3;2,29;-0,01;0;"14/07/2017"
"FRC - FRA de cupom";"V18";2,38;2,39;0,01;0;"14/07/2017"
"FRC - FRA de cupom";"F19";2,51;2,5;-0,01;0;"14/07/2017"
"FRC - FRA de cupom";"J19";2,59;2,59;0;0;"14/07/2017"
"FRC - FRA de cupom";"F20";2,9;2,9;0;0;"14/07/2017"
"FRC - FRA de cupom";"F21";3,31;3,3;-0,01;0;"14/07/2017"
"FRC - FRA de cupom";"F22";3,73;3,72;-0,01;0;"14/07/2017"
"FRC - FRA de cupom";"F23";4,1;4,09;-0,01;0;"14/07/2017"
"FRC - FRA de cupom";"F25";4,9;4,89;-0,01;0;"14/07/2017"
"GBP - Libra Esterlina";"Q17";4171,997;4179,741;7,744;271,04;"14/07/2017"
"GBP - Libra Esterlina";"U17";4202,851;4210,211;7,36;257,6;"14/07/2017"
"ICF - Café Arábica 4/5";"N17";152,35;155,45;3,1;985,86;"14/07/2017"
"ICF - Café Arábica 4/5";"U17";156;159,1;3,1;985,86;"14/07/2017"
"ICF - Café Arábica 4/5";"Z17";161,3;164,6;3,3;1049,46;"14/07/2017"
"ICF - Café Arábica 4/5";"U18";167,7;170,95;3,25;1033,56;"14/07/2017"
"ICF - Café Arábica 4/5";"Z18";172,8;176;3,2;1017,66;"14/07/2017"
"ICF - Café Arábica 4/5";"U19";177,3;180,4;3,1;985,86;"14/07/2017"
"IND - Ibovespa";"Q17";65774;65933;159;159;"14/07/2017"
"IND - Ibovespa";"V17";66620;66779;159;159;"14/07/2017"
