"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio";"DataAtualizacao"
"LTN";20170717;100000;20150703;20171001;9,139;9,1332;9,1375;981,437649;0,0017067821809195;8,9016;9,3918;8,8735;9,3614;"Calculado";"2017-07-17"
"LTN";20170717;100000;20140110;20180101;8,6242;8,5996;8,6126;962,999573;0,0033790060488708;8,3007;8,883;8,297;8,8778;"Calculado";"2017-07-17"
"LTN";20170717;100000;20160108;20180401;8,4748;8,4649;8,47;944,798725;1,77635683940025e-15;8,1321;8,7998;8,1275;8,7942;"Calculado";"2017-07-17"
"LTN";20170717;100000;20140704;20180701;8,4073;8,39;8,3992;926,362196;0,00214249335536364;8,0451;8,749;8,0396;8,7433;"Calculado";"2017-07-17"
"LTN";20170717;100000;20160708;20181001;8,4777;8,4673;8,4715;906,853513;0,00290717503199698;8,1124;8,8343;8,1022;8,8233;"Calculado";"2017-07-17"
"LTN";20170717;100000;20150109;20190101;8,5383;8,5229;8,53;888,196819;1,58882185807825e-15;8,2061;8,9799;8,1563;8,9293;"Calculado";"2017-07-17"
"LTN";20170717;100000;20170106;20190401;8,6924;8,685;8,6885;868,625338;0,00189381584678607;8,3652;9,1824;8,3138;9,1304;"Calculado";"2017-07-17"
"LTN";20170717;100000;20150703;20190701;8,8285;8,8155;8,8231;848,964071;0,00408164094071989;8,5095;9,3717;8,4402;9,3015;"Calculado";"2017-07-17"
"LTN";20170717;100000;20170707;20191001;9,0127;9,0033;9,0077;827,282176;0,00398052341616871;8,7031;9,5906;8,6326;9,5196;"Calculado";"2017-07-17"
"LTN";20170717;100000;20160108;20200101;9,1134;9,1031;9,1077;807,540171;0,00317545676100634;8,8008;9,7158;8,7316;9,6463;"Calculado";"2017-07-17"
"LTN";20170717;100000;20160708;20200701;9,41;9,403;9,406;767,715762;0,00149245096655346;9,0489;10,0528;8,9794;9,9826;"Calculado";"2017-07-17"
"LTN";20170717;100000;20170707;20210701;9,8373;9,83;9,8335;691,268942;0,00183143491452872;9,4382;10,5304;9,3585;10,4505;"Calculado";"2017-07-17"
"NTN-C";20170717;770100;20000701;20210401;NA;NA;5,0959;3683,868468;0,047159921350848;3,9788;6,4079;3,9343;6,3929;"Calculado";"2017-07-17"
"NTN-C";20170717;770100;20000701;20310101;NA;NA;5,422;5652,934159;0,0533408337529004;4,2958;6,7598;4,2501;6,7433;"Calculado";"2017-07-17"
"LFT";20170717;210100;20000701;20170907;NA;NA;1e-04;8958,271314;1,57966718033855e-05;-0,0074;0,0101;-0,0077;0,0104;"Calculado";"2017-07-17"
"LFT";20170717;210100;20000701;20180301;NA;NA;0,0035;8958,08319;0,000195857556087005;-0,009;0,0139;-0,0091;0,0139;"Calculado";"2017-07-17"
"LFT";20170717;210100;20000701;20180901;NA;NA;0,0031;8957,966733;0,000216004763947264;-0,0049;0,0141;-0,005;0,014;"Calculado";"2017-07-17"
"LFT";20170717;210100;20000701;20190301;NA;NA;0,0058;8957,438194;0,000400578981867108;-0,0031;0,0165;-0,0032;0,0163;"Calculado";"2017-07-17"
"LFT";20170717;210100;20000701;20200301;NA;NA;0,0108;8955,754037;0,000386868183813595;0,001;0,0202;8e-04;0,02;"Calculado";"2017-07-17"
"LFT";20170717;210100;20000701;20200901;NA;NA;0,0118;8954,983625;0,000501209867677347;0,0017;0,0222;0,0016;0,0219;"Calculado";"2017-07-17"
