"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Valor Mínimo";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,11";"R$42,18";"R$2.109,16";"24/07/2017";"15:33"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,28";"R$36,05";"R$1.201,84";"24/07/2017";"15:33"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,28";"R$35,97";"R$719,46";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,16";"R$32,51";"R$3.251,27";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,23";"R$32,94";"R$3.294,27";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,30";"R$34,00";"R$3.400,07";"24/07/2017";"15:33"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"8,90";"R$32,51";"R$812,97";"24/07/2017";"15:33"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"9,91";"R$35,96";"R$599,39";"24/07/2017";"15:33"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,02";"R$30,21";"R$1.007,14";"24/07/2017";"15:33"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,01";"R$89,73";"R$8.973,94";"24/07/2017";"15:33"
