"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2019 (NTNB Princ)";"15/05/2019";"4,06";"R$2.788,41";"24/07/2017";"15:33"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,23";"R$2.092,32";"24/07/2017";"15:33"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,40";"R$1.177,80";"24/07/2017";"15:33"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,40";"R$697,10";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2020 (NTNB)";"15/08/2020";"4,63";"R$3.186,16";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2024 (NTNB)";"15/08/2024";"5,18";"R$3.215,93";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,28";"R$3.225,40";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,35";"R$3.251,92";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2045 (NTNB)";"15/05/2045";"5,47";"R$3.257,44";"24/07/2017";"15:33"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,42";"R$3.341,59";"24/07/2017";"15:33"
"Tesouro Prefixado 2018 (LTN)";"01/01/2018";"8,56";"R$965,09";"24/07/2017";"15:33"
"Tesouro Prefixado 2019 (LTN)";"01/01/2019";"8,45";"R$890,86";"24/07/2017";"15:33"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,02";"R$810,79";"24/07/2017";"15:33"
"Tesouro Prefixado 2021 (LTN)";"01/01/2021";"9,54";"R$731,94";"24/07/2017";"15:33"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,03";"R$595,86";"24/07/2017";"15:33"
"Tesouro Prefixado com Juros Semestrais 2021 (NTNF)";"01/01/2021";"9,40";"R$1.023,75";"24/07/2017";"15:33"
"Tesouro Prefixado com Juros Semestrais 2023 (NTNF)";"01/01/2023";"9,85";"R$1.013,73";"24/07/2017";"15:33"
"Tesouro Prefixado com Juros Semestrais 2025 (NTNF)";"01/01/2025";"10,03";"R$1.006,60";"24/07/2017";"15:33"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,14";"R$1.000,24";"24/07/2017";"15:33"
"Tesouro Selic 2021 (LFT)";"01/03/2021";"0,05";"R$8.962,91";"24/07/2017";"15:33"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,05";"R$8.953,95";"24/07/2017";"15:33"
"Tesouro IGPM+ com Juros Semestrais 2021 (NTNC)";"01/04/2021";"4,89";"R$3.706,98";"24/07/2017";"15:33"
"Tesouro IGPM+ com Juros Semestrais 2031 (NTNC)";"01/01/2031";"5,30";"R$5.707,14";"24/07/2017";"15:33"
